deck_id,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8
0,Bomber,Fireball,Giant,Lumberjack,Mega Minion,Mini P.E.K.K.A,Rage,Zap
1,Bowler,Giant,Giant Snowball,Mini P.E.K.K.A,Minions,Musketeer,Sparky,Vines
2,Arrows,Balloon,Bats,Freeze,Giant,Minion Horde,Minions,Skeleton Army
3,Barbarian Barrel,Cannon,Earthquake,Firecracker,Hog Rider,Ice Spirit,Mighty Miner,Skeletons
4,Baby Dragon,Barbarian Barrel,Dark Prince,Electro Giant,Goblin Cage,Ice Wizard,Lightning,Tornado
5,Arrows,Bomber,Fisherman,Goblin Giant,Goblinstein,Guards,P.E.K.K.A,Rage
6,Dark Prince,Elixir Collector,Giant,Heal Spirit,Mini P.E.K.K.A,Rage,Witch,Zap
7,Berserker,Cannon,Dart Goblin,Fire Spirit,Goblin Barrel,Ice Spirit,Valkyrie,Wall Breakers
8,Arrows,Bomber,Fisherman,Goblin Giant,Lightning,P.E.K.K.A,Rage,Skeletons
9,Cannon,Fireball,Hog Rider,Ice Golem,Ice Spirit,Musketeer,Skeletons,The Log
10,Arrows,Bomber,Fisherman,Giant,Goblinstein,Lightning,P.E.K.K.A,Skeletons
11,Barbarian Barrel,Battle Ram,Boss Bandit,Electro Wizard,Magic Archer,Mini P.E.K.K.A,Skeletons,Zap
12,Arrows,Bomber,Fisherman,Giant,Goblinstein,Guards,P.E.K.K.A,Rage
13,Balloon,Barbarian Barrel,Bomb Tower,Giant Snowball,Knight,Miner,Musketeer,Skeletons
14,Elixir Collector,Giant,Heal Spirit,Lumberjack,Mini P.E.K.K.A,Minions,Three Musketeers,Zap
15,Archers,Electro Spirit,Knight,Rocket,Skeletons,Tesla,The Log,X-Bow
16,Dart Goblin,Electro Spirit,Goblin Gang,Mini P.E.K.K.A,Princess,Skeleton Barrel,Suspicious Bush,Wall Breakers
17,Barbarian Barrel,Goblin Hut,Miner,Minions,Poison,Royal Ghost,Skeletons,Wall Breakers
18,Giant,Knight,Mini P.E.K.K.A,Minions,Rage,Sparky,Witch,Zap
